Verb,Tense,Form
elfogad,Present indefinite tense,elfogadok
elfogad,Present indefinite tense,elfogadsz
elfogad,Present indefinite tense,elfogad
elfogad,Present indefinite tense,elfogadunk
elfogad,Present indefinite tense,elfogadtok
elfogad,Present indefinite tense,elfogadnak
elfogad,Present definite tense,elfogadom
elfogad,Present definite tense,elfogadod
elfogad,Present definite tense,elfogadja
elfogad,Present definite tense,elfogadjuk
elfogad,Present definite tense,elfogadjátok
elfogad,Present definite tense,elfogadják
elfogad,Past indefinite tense,elfogadtam
elfogad,Past indefinite tense,elfogadtál
elfogad,Past indefinite tense,elfogadott
elfogad,Past indefinite tense,elfogadtunk
elfogad,Past indefinite tense,elfogadtatok
elfogad,Past indefinite tense,elfogadtak
elfogad,Past definite tense,elfogadtam
elfogad,Past definite tense,elfogadtad
elfogad,Past definite tense,elfogadta
elfogad,Past definite tense,elfogadtuk
elfogad,Past definite tense,elfogadtátok
elfogad,Past definite tense,elfogadták
elfogad,Conditional present indefinite tense,elfogadnék
elfogad,Conditional present indefinite tense,elfogadnál
elfogad,Conditional present indefinite tense,elfogadna
elfogad,Conditional present indefinite tense,elfogadnánk
elfogad,Conditional present indefinite tense,elfogadnátok
elfogad,Conditional present indefinite tense,elfogadnának
elfogad,Conditional present definite tense,elfogadnám
elfogad,Conditional present definite tense,elfogadnád
elfogad,Conditional present definite tense,elfogadná
elfogad,Conditional present definite tense,elfogadnánk
elfogad,Conditional present definite tense,elfogadnátok
elfogad,Conditional present definite tense,elfogadnák
elfogad,Conditional past indefinite tense,elfogadtam volna
elfogad,Conditional past indefinite tense,elfogadtál volna
elfogad,Conditional past indefinite tense,elfogadott volna
elfogad,Conditional past indefinite tense,elfogadtunk volna
elfogad,Conditional past indefinite tense,elfogadtatok volna
elfogad,Conditional past indefinite tense,elfogadtak volna
elfogad,Conditional past definite tense,elfogadtam volna
elfogad,Conditional past definite tense,elfogadtad volna
elfogad,Conditional past definite tense,elfogadta volna
elfogad,Conditional past definite tense,elfogadtuk volna
elfogad,Conditional past definite tense,elfogadtátok volna
elfogad,Conditional past definite tense,elfogadták volna
elfogad,Future indefinite tense,fogok elfogadni
elfogad,Future indefinite tense,fogsz elfogadni
elfogad,Future indefinite tense,fog elfogadni
elfogad,Future indefinite tense,fogunk elfogadni
elfogad,Future indefinite tense,fogtok elfogadni
elfogad,Future indefinite tense,fognak elfogadni
elfogad,Future definite tense,fogom elfogadni
elfogad,Future definite tense,fogod elfogadni
elfogad,Future definite tense,fogja elfogadni
elfogad,Future definite tense,fogjuk elfogadni
elfogad,Future definite tense,fogjátok elfogadni
elfogad,Future definite tense,fogják elfogadni
elfogad,Subjunctive present definite tense,elfogadjam
elfogad,Subjunctive present definite tense,elfogadd
elfogad,Subjunctive present definite tense,elfogadja
elfogad,Subjunctive present definite tense,elfogadjuk
elfogad,Subjunctive present definite tense,elfogadjátok
elfogad,Subjunctive present definite tense,elfogadják
elfogad,Subjunctive present indefinite tense,elfogadjak
elfogad,Subjunctive present indefinite tense,elfogadj
elfogad,Subjunctive present indefinite tense,elfogadjon
elfogad,Subjunctive present indefinite tense,elfogadjunk
elfogad,Subjunctive present indefinite tense,elfogadjatok
elfogad,Subjunctive present indefinite tense,elfogadjanak
elfogad,Conjugated infinitives,elfogadnom
elfogad,Conjugated infinitives,elfogadnod
elfogad,Conjugated infinitives,elfogadnia
elfogad,Conjugated infinitives,elfogadnunk
elfogad,Conjugated infinitives,elfogadnotok
elfogad,Conjugated infinitives,elfogadniuk
hozzáad,Present indefinite tense,hozzáadok
hozzáad,Present indefinite tense,hozzáadsz
hozzáad,Present indefinite tense,hozzáad
hozzáad,Present indefinite tense,hozzáadunk
hozzáad,Present indefinite tense,hozzáadtok
hozzáad,Present indefinite tense,hozzáadnak
hozzáad,Present definite tense,hozzáadom
hozzáad,Present definite tense,hozzáadod
hozzáad,Present definite tense,hozzáadja
hozzáad,Present definite tense,hozzáadjuk
hozzáad,Present definite tense,hozzáadjátok
hozzáad,Present definite tense,hozzáadják
hozzáad,Past indefinite tense,hozzáadtam
hozzáad,Past indefinite tense,hozzáadtál
hozzáad,Past indefinite tense,hozzáadott
hozzáad,Past indefinite tense,hozzáadtunk
hozzáad,Past indefinite tense,hozzáadtatok
hozzáad,Past indefinite tense,hozzáadtak
hozzáad,Past definite tense,hozzáadtam
hozzáad,Past definite tense,hozzáadtad
hozzáad,Past definite tense,hozzáadta
hozzáad,Past definite tense,hozzáadtuk
hozzáad,Past definite tense,hozzáadtátok
hozzáad,Past definite tense,hozzáadták
hozzáad,Conditional present indefinite tense,hozzáadnék
hozzáad,Conditional present indefinite tense,hozzáadnál
hozzáad,Conditional present indefinite tense,hozzáadna
hozzáad,Conditional present indefinite tense,hozzáadnánk
hozzáad,Conditional present indefinite tense,hozzáadnátok
hozzáad,Conditional present indefinite tense,hozzáadnának
hozzáad,Conditional present definite tense,hozzáadnám
hozzáad,Conditional present definite tense,hozzáadnád
hozzáad,Conditional present definite tense,hozzáadná
hozzáad,Conditional present definite tense,hozzáadnánk
hozzáad,Conditional present definite tense,hozzáadnátok
hozzáad,Conditional present definite tense,hozzáadnák
hozzáad,Conditional past indefinite tense,hozzáadtam volna
hozzáad,Conditional past indefinite tense,hozzáadtál volna
hozzáad,Conditional past indefinite tense,hozzáadott volna
hozzáad,Conditional past indefinite tense,hozzáadtunk volna
hozzáad,Conditional past indefinite tense,hozzáadtatok volna
hozzáad,Conditional past indefinite tense,hozzáadtak volna
hozzáad,Conditional past definite tense,hozzáadtam volna
hozzáad,Conditional past definite tense,hozzáadtad volna
