Verb,Tense,Form,Translation,Difficulty
elfogad,Present indefinite tense,elfogadok,I elfogadok,beginner
elfogad,Present indefinite tense,elfogadsz,You (singular) elfogadsz,beginner
elfogad,Present indefinite tense,elfogad,elfogad,beginner
elfogad,Present indefinite tense,elfogadunk,We elfogadunk,beginner
elfogad,Present indefinite tense,elfogadtok,I elfogadtok,beginner
elfogad,Present indefinite tense,elfogadnak,They elfogadnak,beginner
elfogad,Present definite tense,elfogadom,I elfogadom,beginner
elfogad,Present definite tense,elfogadod,You elfogadod,beginner
elfogad,Present definite tense,elfogadja,He/She elfogadja,beginner
elfogad,Present definite tense,elfogadjuk,We elfogadjuk,beginner
elfogad,Present definite tense,elfogadjátok,I elfogadjátok,beginner
elfogad,Present definite tense,elfogadják,They elfogadják,beginner
elfogad,Past indefinite tense,elfogadtam,I elfogadtam,intermediate
elfogad,Past indefinite tense,elfogadtál,You elfogadtál,intermediate
elfogad,Past indefinite tense,elfogadott,He/She elfogadott,intermediate
elfogad,Past indefinite tense,elfogadtunk,We elfogadtunk,intermediate
elfogad,Past indefinite tense,elfogadtatok,I elfogadtatok,intermediate
elfogad,Past indefinite tense,elfogadtak,They elfogadtak,intermediate
elfogad,Past definite tense,elfogadtam,I elfogadtam,intermediate
elfogad,Past definite tense,elfogadtad,elfogadtad,intermediate
elfogad,Past definite tense,elfogadta,elfogadta,intermediate
elfogad,Past definite tense,elfogadtuk,elfogadtuk,intermediate
elfogad,Past definite tense,elfogadtátok,I elfogadtátok,intermediate
elfogad,Past definite tense,elfogadták,elfogadták,intermediate
elfogad,Conditional present indefinite tense,elfogadnék,elfogadnék,beginner
elfogad,Conditional present indefinite tense,elfogadnál,elfogadnál,beginner
elfogad,Conditional present indefinite tense,elfogadna,elfogadna,beginner
elfogad,Conditional present indefinite tense,elfogadnánk,elfogadnánk,beginner
elfogad,Conditional present indefinite tense,elfogadnátok,I elfogadnátok,beginner
elfogad,Conditional present indefinite tense,elfogadnának,They elfogadnának,beginner
elfogad,Conditional present definite tense,elfogadnám,elfogadnám,beginner
elfogad,Conditional present definite tense,elfogadnád,elfogadnád,beginner
elfogad,Conditional present definite tense,elfogadná,elfogadná,beginner
elfogad,Conditional present definite tense,elfogadnánk,elfogadnánk,beginner
elfogad,Conditional present definite tense,elfogadnátok,I elfogadnátok,beginner
elfogad,Conditional present definite tense,elfogadnák,elfogadnák,beginner
elfogad,Conditional past indefinite tense,elfogadtam volna,elfogadtam volna,intermediate
elfogad,Conditional past indefinite tense,elfogadtál volna,elfogadtál volna,intermediate
elfogad,Conditional past indefinite tense,elfogadott volna,elfogadott volna,intermediate
elfogad,Conditional past indefinite tense,elfogadtunk volna,elfogadtunk volna,intermediate
elfogad,Conditional past indefinite tense,elfogadtatok volna,elfogadtatok volna,intermediate
elfogad,Conditional past indefinite tense,elfogadtak volna,elfogadtak volna,intermediate
elfogad,Conditional past definite tense,elfogadtam volna,elfogadtam volna,intermediate
elfogad,Conditional past definite tense,elfogadtad volna,elfogadtad volna,intermediate
elfogad,Conditional past definite tense,elfogadta volna,elfogadta volna,intermediate
elfogad,Conditional past definite tense,elfogadtuk volna,elfogadtuk volna,intermediate
elfogad,Conditional past definite tense,elfogadtátok volna,elfogadtátok volna,intermediate
elfogad,Conditional past definite tense,elfogadták volna,elfogadták volna,intermediate
elfogad,Future indefinite tense,fogok elfogadni,fogok elfogadni,advanced
elfogad,Future indefinite tense,fogsz elfogadni,fogsz elfogadni,advanced
elfogad,Future indefinite tense,fog elfogadni,fog elfogadni,advanced
elfogad,Future indefinite tense,fogunk elfogadni,fogunk elfogadni,advanced
elfogad,Future indefinite tense,fogtok elfogadni,fogtok elfogadni,advanced
elfogad,Future indefinite tense,fognak elfogadni,fognak elfogadni,advanced
elfogad,Future definite tense,fogom elfogadni,fogom elfogadni,advanced
elfogad,Future definite tense,fogod elfogadni,fogod elfogadni,advanced
elfogad,Future definite tense,fogja elfogadni,fogja elfogadni,advanced
elfogad,Future definite tense,fogjuk elfogadni,fogjuk elfogadni,advanced
elfogad,Future definite tense,fogjátok elfogadni,fogjátok elfogadni,advanced
elfogad,Future definite tense,fogják elfogadni,fogják elfogadni,advanced
elfogad,Subjunctive present definite tense,elfogadjam,elfogadjam,beginner
elfogad,Subjunctive present definite tense,elfogadd,elfogadd,beginner
elfogad,Subjunctive present definite tense,elfogadja,He/She elfogadja,beginner
elfogad,Subjunctive present definite tense,elfogadjuk,We elfogadjuk,beginner
elfogad,Subjunctive present definite tense,elfogadjátok,I elfogadjátok,beginner
elfogad,Subjunctive present definite tense,elfogadják,They elfogadják,beginner
elfogad,Subjunctive present indefinite tense,elfogadjak,elfogadjak,beginner
elfogad,Subjunctive present indefinite tense,elfogadj,elfogadj,beginner
elfogad,Subjunctive present indefinite tense,elfogadjon,elfogadjon,beginner
elfogad,Subjunctive present indefinite tense,elfogadjunk,We elfogadjunk,beginner
elfogad,Subjunctive present indefinite tense,elfogadjatok,I elfogadjatok,beginner
elfogad,Subjunctive present indefinite tense,elfogadjanak,They elfogadjanak,beginner
elfogad,Conjugated infinitives,elfogadnom,I elfogadnom,advanced
elfogad,Conjugated infinitives,elfogadnod,You elfogadnod,advanced
elfogad,Conjugated infinitives,elfogadnia,elfogadnia,advanced
elfogad,Conjugated infinitives,elfogadnunk,We elfogadnunk,advanced
elfogad,Conjugated infinitives,elfogadnotok,I elfogadnotok,advanced
elfogad,Conjugated infinitives,elfogadniuk,elfogadniuk,advanced
hozzáad,Present indefinite tense,hozzáadok,I hozzáadok,beginner
hozzáad,Present indefinite tense,hozzáadsz,You (singular) hozzáadsz,beginner
hozzáad,Present indefinite tense,hozzáad,hozzáad,beginner
hozzáad,Present indefinite tense,hozzáadunk,We hozzáadunk,beginner
hozzáad,Present indefinite tense,hozzáadtok,I hozzáadtok,beginner
hozzáad,Present indefinite tense,hozzáadnak,They hozzáadnak,beginner
hozzáad,Present definite tense,hozzáadom,I hozzáadom,beginner
hozzáad,Present definite tense,hozzáadod,You hozzáadod,beginner
hozzáad,Present definite tense,hozzáadja,He/She hozzáadja,beginner
hozzáad,Present definite tense,hozzáadjuk,We hozzáadjuk,beginner
hozzáad,Present definite tense,hozzáadjátok,I hozzáadjátok,beginner
hozzáad,Present definite tense,hozzáadják,They hozzáadják,beginner
hozzáad,Past indefinite tense,hozzáadtam,I hozzáadtam,intermediate
hozzáad,Past indefinite tense,hozzáadtál,You hozzáadtál,intermediate
hozzáad,Past indefinite tense,hozzáadott,He/She hozzáadott,intermediate
hozzáad,Past indefinite tense,hozzáadtunk,We hozzáadtunk,intermediate
hozzáad,Past indefinite tense,hozzáadtatok,I hozzáadtatok,intermediate
hozzáad,Past indefinite tense,hozzáadtak,They hozzáadtak,intermediate
hozzáad,Past definite tense,hozzáadtam,I hozzáadtam,intermediate
hozzáad,Past definite tense,hozzáadtad,hozzáadtad,intermediate
hozzáad,Past definite tense,hozzáadta,hozzáadta,intermediate
hozzáad,Past definite tense,hozzáadtuk,hozzáadtuk,intermediate
hozzáad,Past definite tense,hozzáadtátok,I hozzáadtátok,intermediate
hozzáad,Past definite tense,hozzáadták,hozzáadták,intermediate
hozzáad,Conditional present indefinite tense,hozzáadnék,hozzáadnék,beginner
hozzáad,Conditional present indefinite tense,hozzáadnál,hozzáadnál,beginner
hozzáad,Conditional present indefinite tense,hozzáadna,hozzáadna,beginner
hozzáad,Conditional present indefinite tense,hozzáadnánk,hozzáadnánk,beginner
hozzáad,Conditional present indefinite tense,hozzáadnátok,I hozzáadnátok,beginner
hozzáad,Conditional present indefinite tense,hozzáadnának,They hozzáadnának,beginner
hozzáad,Conditional present definite tense,hozzáadnám,hozzáadnám,beginner
hozzáad,Conditional present definite tense,hozzáadnád,hozzáadnád,beginner
hozzáad,Conditional present definite tense,hozzáadná,hozzáadná,beginner
hozzáad,Conditional present definite tense,hozzáadnánk,hozzáadnánk,beginner
hozzáad,Conditional present definite tense,hozzáadnátok,I hozzáadnátok,beginner
hozzáad,Conditional present definite tense,hozzáadnák,hozzáadnák,beginner
hozzáad,Conditional past indefinite tense,hozzáadtam volna,hozzáadtam volna,intermediate
hozzáad,Conditional past indefinite tense,hozzáadtál volna,hozzáadtál volna,intermediate
hozzáad,Conditional past indefinite tense,hozzáadott volna,hozzáadott volna,intermediate
hozzáad,Conditional past indefinite tense,hozzáadtunk volna,hozzáadtunk volna,intermediate
hozzáad,Conditional past indefinite tense,hozzáadtatok volna,hozzáadtatok volna,intermediate
hozzáad,Conditional past indefinite tense,hozzáadtak volna,hozzáadtak volna,intermediate
hozzáad,Conditional past definite tense,hozzáadtam volna,hozzáadtam volna,intermediate
hozzáad,Conditional past definite tense,hozzáadtad volna,hozzáadtad volna,intermediate
hozzáad,Conditional past definite tense,hozzáadta volna,hozzáadta volna,intermediate
hozzáad,Conditional past definite tense,hozzáadtuk volna,hozzáadtuk volna,intermediate
hozzáad,Conditional past definite tense,hozzáadtátok volna,hozzáadtátok volna,intermediate
hozzáad,Conditional past definite tense,hozzáadták volna,hozzáadták volna,intermediate
hozzáad,Future indefinite tense,fogok hozzáadni,fogok hozzáadni,advanced
hozzáad,Future indefinite tense,fogsz hozzáadni,fogsz hozzáadni,advanced
hozzáad,Future indefinite tense,fog hozzáadni,fog hozzáadni,advanced
hozzáad,Future indefinite tense,fogunk hozzáadni,fogunk hozzáadni,advanced
hozzáad,Future indefinite tense,fogtok hozzáadni,fogtok hozzáadni,advanced
hozzáad,Future indefinite tense,fognak hozzáadni,fognak hozzáadni,advanced
hozzáad,Future definite tense,fogom hozzáadni,fogom hozzáadni,advanced
hozzáad,Future definite tense,fogod hozzáadni,fogod hozzáadni,advanced
hozzáad,Future definite tense,fogja hozzáadni,fogja hozzáadni,advanced
hozzáad,Future definite tense,fogjuk hozzáadni,fogjuk hozzáadni,advanced
hozzáad,Future definite tense,fogjátok hozzáadni,fogjátok hozzáadni,advanced
hozzáad,Future definite tense,fogják hozzáadni,fogják hozzáadni,advanced
hozzáad,Subjunctive present definite tense,hozzáadjam,hozzáadjam,beginner
hozzáad,Subjunctive present definite tense,hozzáadd,hozzáadd,beginner
hozzáad,Subjunctive present definite tense,hozzáadja,He/She hozzáadja,beginner
hozzáad,Subjunctive present definite tense,hozzáadjuk,We hozzáadjuk,beginner
hozzáad,Subjunctive present definite tense,hozzáadjátok,I hozzáadjátok,beginner
hozzáad,Subjunctive present definite tense,hozzáadják,They hozzáadják,beginner
hozzáad,Subjunctive present indefinite tense,hozzáadjak,hozzáadjak,beginner
hozzáad,Subjunctive present indefinite tense,hozzáadj,hozzáadj,beginner
hozzáad,Subjunctive present indefinite tense,hozzáadjon,hozzáadjon,beginner
hozzáad,Subjunctive present indefinite tense,hozzáadjunk,We hozzáadjunk,beginner
hozzáad,Subjunctive present indefinite tense,hozzáadjatok,I hozzáadjatok,beginner
hozzáad,Subjunctive present indefinite tense,hozzáadjanak,They hozzáadjanak,beginner
hozzáad,Conjugated infinitives,hozzáadnom,I hozzáadnom,advanced
hozzáad,Conjugated infinitives,hozzáadnod,You hozzáadnod,advanced
hozzáad,Conjugated infinitives,hozzáadnia,hozzáadnia,advanced
hozzáad,Conjugated infinitives,hozzáadnunk,We hozzáadnunk,advanced
hozzáad,Conjugated infinitives,hozzáadnotok,I hozzáadnotok,advanced
hozzáad,Conjugated infinitives,hozzáadniuk,hozzáadniuk,advanced
megenged,Present indefinite tense,megengedek,megengedek,beginner
megenged,Present indefinite tense,megengedsz,You (singular) megengedsz,beginner
megenged,Present indefinite tense,megenged,megenged,beginner
megenged,Present indefinite tense,megengedünk,megengedünk,beginner
megenged,Present indefinite tense,megengedtek,megengedtek,beginner
megenged,Present indefinite tense,megengednek,megengednek,beginner
megenged,Present definite tense,megengedem,megengedem,beginner
megenged,Present definite tense,megengeded,megengeded,beginner
megenged,Present definite tense,megengedi,megengedi,beginner
megenged,Present definite tense,megengedjük,megengedjük,beginner
megenged,Present definite tense,megengeditek,megengeditek,beginner
megenged,Present definite tense,megengedik,megengedik,beginner
megenged,Past indefinite tense,megengedtem,megengedtem,intermediate
megenged,Past indefinite tense,megengedtél,megengedtél,intermediate
megenged,Past indefinite tense,megengedett,megengedett,intermediate
megenged,Past indefinite tense,megengedtünk,megengedtünk,intermediate
megenged,Past indefinite tense,megengedtetek,megengedtetek,intermediate
megenged,Past indefinite tense,megengedtek,megengedtek,intermediate
megenged,Past definite tense,megengedtem,megengedtem,intermediate
megenged,Past definite tense,megengedted,megengedted,intermediate
megenged,Past definite tense,megengedte,megengedte,intermediate
megenged,Past definite tense,megengedtük,megengedtük,intermediate
megenged,Past definite tense,megengedtétek,megengedtétek,intermediate
megenged,Past definite tense,megengedték,megengedték,intermediate
megenged,Conditional present indefinite tense,megengednék,megengednék,beginner
megenged,Conditional present indefinite tense,megengednél,megengednél,beginner
megenged,Conditional present indefinite tense,megengedne,megengedne,beginner
megenged,Conditional present indefinite tense,megengednénk,megengednénk,beginner
megenged,Conditional present indefinite tense,megengednétek,megengednétek,beginner
megenged,Conditional present indefinite tense,megengednének,megengednének,beginner
megenged,Conditional present definite tense,megengedném,megengedném,beginner
megenged,Conditional present definite tense,megengednéd,megengednéd,beginner
megenged,Conditional present definite tense,megengedné,megengedné,beginner
megenged,Conditional present definite tense,megengednénk,megengednénk,beginner
megenged,Conditional present definite tense,megengednétek,megengednétek,beginner
