Verb,Tense,Form,Translation,Difficulty
elfogad,Present indefinite tense,elfogadok,I accept,beginner
elfogad,Present indefinite tense,elfogadsz,You accept,beginner
elfogad,Present indefinite tense,elfogad,He accepts,beginner
elfogad,Present indefinite tense,elfogadunk,We accept,beginner
elfogad,Present indefinite tense,elfogadtok,You all accept,beginner
elfogad,Present indefinite tense,elfogadnak,They accept,beginner
elfogad,Present definite tense,elfogadom,I accept,beginner
elfogad,Present definite tense,elfogadod,You accept,beginner
elfogad,Present definite tense,elfogadja,He accepts,beginner
elfogad,Present definite tense,elfogadjuk,We accept,beginner
elfogad,Present definite tense,elfogadjátok,You all accept,beginner
elfogad,Present definite tense,elfogadják,They accept,beginner
elfogad,Past indefinite tense,elfogadtam,I accepted,intermediate
elfogad,Past indefinite tense,elfogadtál,You accepted,intermediate
elfogad,Past indefinite tense,elfogadott,He accepted,intermediate
elfogad,Past indefinite tense,elfogadtunk,We accepted,intermediate
elfogad,Past indefinite tense,elfogadtatok,You all accepted,intermediate
elfogad,Past indefinite tense,elfogadtak,They accepted,intermediate
elfogad,Past definite tense,elfogadtam,I accepted,intermediate
elfogad,Past definite tense,elfogadtad,You accepted,intermediate
elfogad,Past definite tense,elfogadta,He accepted,intermediate
elfogad,Past definite tense,elfogadtuk,We accepted,intermediate
elfogad,Past definite tense,elfogadtátok,You all accepted,intermediate
elfogad,Past definite tense,elfogadták,They accepted,intermediate
elfogad,Conditional present indefinite tense,elfogadnék,I would accept,intermediate
elfogad,Conditional present indefinite tense,elfogadnál,You would accept,intermediate
elfogad,Conditional present indefinite tense,elfogadna,He would accept,intermediate
elfogad,Conditional present indefinite tense,elfogadnánk,We would accept,intermediate
elfogad,Conditional present indefinite tense,elfogadnátok,You all would accept,intermediate
elfogad,Conditional present indefinite tense,elfogadnának,They would accept,intermediate
elfogad,Conditional present definite tense,elfogadnám,I would accept,intermediate
elfogad,Conditional present definite tense,elfogadnád,You would accept,intermediate
elfogad,Conditional present definite tense,elfogadná,He would accept,intermediate
elfogad,Conditional present definite tense,elfogadnánk,We would accept,intermediate
elfogad,Conditional present definite tense,elfogadnátok,You all would accept,intermediate
elfogad,Conditional present definite tense,elfogadnák,They would accept,intermediate
elfogad,Conditional past indefinite tense,elfogadtam volna,I would have accepted,intermediate
elfogad,Conditional past indefinite tense,elfogadtál volna,You would have accepted,intermediate
elfogad,Conditional past indefinite tense,elfogadott volna,He would have accepted,intermediate
elfogad,Conditional past indefinite tense,elfogadtunk volna,We would have accepted,intermediate
elfogad,Conditional past indefinite tense,elfogadtatok volna,You all would have accepted,intermediate
elfogad,Conditional past indefinite tense,elfogadtak volna,They would have accepted,intermediate
elfogad,Conditional past definite tense,elfogadtam volna,I would have accepted,intermediate
elfogad,Conditional past definite tense,elfogadtad volna,You would have accepted,intermediate
elfogad,Conditional past definite tense,elfogadta volna,He would have accepted,intermediate
elfogad,Conditional past definite tense,elfogadtuk volna,We would have accepted,intermediate
elfogad,Conditional past definite tense,elfogadtátok volna,You all would have accepted,intermediate
elfogad,Conditional past definite tense,elfogadták volna,They would have accepted,intermediate
elfogad,Future indefinite tense,fogok elfogadni,I will accept,advanced
